,OCC,n,rank
62,0301,104598,1
144,0610,88050,2
404,2210,85167,3
80,0343,75002,4
354,1802,53869,5
64,0303,53327,6
357,1811,43062,7
222,0905,38890,8
353,1801,38762,9
259,1102,38226,10
142,0602,35576,11
177,0679,30970,12
56,0201,30457,13
227,0962,28945,14
29,0105,27952,15
258,1101,27373,16
191,0801,27201,17
123,0501,26193,18
370,1895,23359,19
93,0401,21080,20
82,0346,20972,21
397,2152,20729,22
371,1896,19466,23
145,0620,19091,24
207,0855,18569,25
48,0185,17154,26
1,0007,17091,27
77,0340,16123,28
141,0601,15778,29
114,0462,15631,30
146,0621,14970,31
16,0080,14754,32
19,0083,14655,33
192,0802,14395,34
36,0132,14307,35
203,0830,13712,36
342,1701,13502,37
135,0560,13309,38
235,0996,13209,39
439,3566,13188,40
126,0510,13084,41
71,0318,12935,42
156,0640,12888,43
165,0660,12084,44
127,0511,11935,45
27,0101,11222,46
199,0810,11079,47
504,4749,10675,48
139,0592,10248,49
379,2005,9995,50
617,8852,9968,51
57,0203,9968,52
373,1910,9827,53
45,0180,9657,54
210,0861,9635,55
345,1712,9259,56
17,0081,9067,57
78,0341,8944,58
128,0512,8944,59
385,2101,8699,60
288,1224,8614,61
331,1550,8514,62
208,0856,8145,63
290,1301,7840,64
604,7408,7473,65
95,0404,7309,66
568,5801,7224,67
458,3806,7150,68
124,0503,7145,69
231,0986,7075,70
343,1702,6762,71
586,6907,6709,72
166,0661,6491,73
225,0950,6116,74
137,0570,6049,75
158,0644,6026,76
569,5803,5969,77
340,1670,5920,78
3,0018,5897,79
273,1152,5890,80
380,2010,5820,81
220,0901,5814,82
245,1035,5784,83
129,0525,5703,84
297,1320,5685,85
173,0671,5670,86
205,0850,5620,87
554,5703,5474,88
23,0089,5428,89
161,0647,5410,90
89,0391,5333,91
176,0675,5267,92
344,1710,5261,93
8,0025,5245,94
324,1515,5191,95
333,1601,5136,96
9,0028,4952,97
21,0085,4918,98
416,2805,4833,99
206,0854,4792,100
81,0344,4708,101
411,2604,4701,102
66,0305,4588,103
276,1165,4569,104
32,0110,4347,105
360,1825,4198,106
470,4102,4087,107
163,0649,4079,108
365,1862,4053,109
110,0457,3992,110
378,2003,3974,111
602,7404,3804,112
179,0681,3788,113
201,0819,3748,114
182,0685,3740,115
22,0086,3734,116
377,2001,3647,117
238,1001,3565,118
430,3414,3559,119
473,4204,3528,120
383,2091,3366,121
143,0603,3324,122
185,0696,3318,123
278,1170,3303,124
414,2610,3291,125
204,0840,3285,126
328,1530,3230,127
262,1105,3118,128
159,0645,3097,129
277,1169,3046,130
535,5334,3004,131
34,0130,2988,132
400,2181,2984,133
148,0630,2881,134
300,1340,2881,135
386,2102,2862,136
584,6901,2822,137
336,1640,2812,138
147,0622,2807,139
150,0633,2785,140
31,0107,2751,141
557,5716,2733,142
60,0260,2733,143
612,8602,2714,144
448,3703,2702,145
223,0930,2699,146
356,1810,2602,147
74,0326,2590,148
366,1863,2563,149
496,4701,2530,150
590,6914,2524,151
236,0998,2520,152
292,1310,2425,153
92,0399,2379,154
94,0403,2289,155
168,0665,2258,156
120,0486,2257,157
293,1311,2239,158
118,0482,2210,159
351,1750,2194,160
434,3502,2183,161
528,5306,2167,162
178,0680,2147,163
265,1109,2134,164
188,0701,2125,165
67,0306,2122,166
295,1315,2050,167
79,0342,2046,168
109,0455,1967,169
538,5378,1931,170
228,0963,1922,171
395,2150,1908,172
524,5210,1898,173
224,0935,1898,174
502,4742,1888,175
28,0102,1885,176
76,0335,1841,177
417,2810,1828,178
197,0808,1768,179
113,0460,1765,180
614,8801,1756,181
296,1316,1681,182
419,2892,1678,183
134,0545,1656,184
198,0809,1653,185
230,0967,1633,186
374,1980,1631,187
149,0631,1621,188
255,1084,1591,189
391,2130,1583,190
0,0006,1566,191
184,0690,1533,192
327,1529,1484,193
132,0540,1476,194
320,1421,1471,195
396,2151,1459,196
571,5823,1459,197
588,6912,1428,198
302,1350,1425,199
133,0544,1419,200
195,0806,1396,201
167,0662,1373,202
219,0899,1366,203
280,1173,1327,204
125,0505,1324,205
97,0408,1310,206
603,7407,1308,207
281,1176,1304,208
610,8268,1287,209
152,0636,1273,210
461,3820,1249,211
54,0193,1249,212
272,1150,1238,213
13,0060,1238,214
477,4352,1215,215
268,1144,1211,216
263,1106,1200,217
274,1160,1197,218
359,1822,1182,219
362,1849,1182,220
49,0186,1164,221
218,0896,1163,222
537,5352,1158,223
253,1082,1153,224
85,0360,1152,225
549,5426,1150,226
216,0893,1145,227
412,2606,1137,228
375,1981,1130,229
582,6652,1125,230
585,6904,1120,231
217,0895,1109,232
233,0991,1102,233
494,4607,1089,234
254,1083,1088,235
325,1520,1084,236
111,0458,1065,237
187,0699,1036,238
449,3705,1019,239
51,0188,1005,240
252,1071,999,241
609,8255,997,242
24,0090,997,243
246,1040,988,244
154,0638,982,245
316,1410,980,246
355,1805,979,247
84,0356,977,248
130,0526,976,249
368,1889,969,250
131,0530,954,251
211,0871,950,252
42,0150,943,253
587,6910,935,254
5,0020,925,255
102,0421,918,256
574,6502,916,257
291,1306,910,258
527,5301,909,259
346,1715,895,260
350,1740,894,261
209,0858,891,262
108,0454,887,263
46,0181,883,264
545,5413,882,265
170,0668,871,266
402,2185,865,267
540,5402,857,268
474,4206,849,269
637,9925,840,270
581,6641,822,271
115,0470,810,272
318,1412,797,273
364,1860,797,274
180,0682,793,275
334,1603,786,276
598,7304,785,277
542,5407,775,278
510,4818,762,279
96,0405,762,280
138,0580,761,281
68,0308,734,282
279,1171,733,283
44,0170,729,284
242,1016,726,285
329,1531,717,286
171,0669,699,287
505,4754,697,288
136,0561,696,289
172,0670,696,290
573,6501,680,291
267,1140,680,292
410,2602,667,293
52,0189,665,294
202,0828,663,295
261,1104,659,296
536,5350,648,297
558,5725,646,298
553,5701,637,299
381,2030,631,300
122,0499,631,301
317,1411,631,302
556,5705,626,303
446,3610,615,304
666,9985,610,305
421,3105,608,306
580,6610,603,307
525,5220,587,308
305,1370,582,309
418,2854,580,310
347,1720,570,311
367,1881,562,312
303,1360,552,313
241,1015,551,314
119,0485,546,315
174,0672,545,316
403,2186,544,317
616,8840,537,318
181,0683,537,319
319,1420,528,320
100,0414,513,321
388,2121,502,322
189,0704,501,323
456,3801,498,324
101,0415,495,325
286,1222,494,326
301,1341,488,327
87,0382,479,328
389,2123,475,329
193,0803,465,330
517,5003,464,331
306,1371,457,332
299,1330,453,333
266,1130,453,334
431,3416,452,335
107,0440,447,336
369,1894,443,337
160,0646,438,338
304,1361,433,339
260,1103,432,340
533,5318,431,341
65,0304,425,342
251,1060,423,343
294,1313,418,344
433,3501,414,345
427,3359,414,346
270,1146,414,347
164,0651,411,348
337,1654,405,349
492,4604,403,350
11,0030,399,351
169,0667,389,352
7,0023,389,353
541,5406,388,354
239,1008,387,355
140,0599,378,356
315,1399,377,357
232,0987,375,358
234,0993,372,359
594,7002,370,360
282,1199,370,361
645,9934,369,362
117,0480,365,363
308,1373,364,364
339,1667,363,365
284,1220,360,366
33,0119,358,367
214,0881,358,368
398,2154,356,369
521,5048,351,370
103,0430,344,371
175,0673,337,372
196,0807,334,373
429,3401,332,374
361,1831,329,375
463,3869,326,376
151,0635,324,377
221,0904,322,378
99,0413,319,379
162,0648,318,380
442,3603,317,381
409,2601,313,382
35,0131,312,383
215,0890,312,384
544,5409,308,385
20,0084,305,386
240,1010,305,387
269,1145,305,388
55,0199,304,389
451,3711,303,390
515,5001,301,391
428,3378,296,392
2,0017,295,393
596,7009,290,394
507,4804,288,395
26,0099,287,396
323,1510,285,397
83,0350,282,398
636,9924,282,399
200,0817,282,400
543,5408,277,401
506,4801,277,402
18,0082,274,403
518,5026,272,404
493,4605,263,405
407,2502,262,406
50,0187,261,407
88,0390,258,408
548,5423,256,409
332,1599,253,410
625,9907,249,411
539,5401,248,412
194,0804,245,413
104,0434,244,414
390,2125,241,415
599,7305,237,416
75,0332,237,417
12,0050,235,418
566,5786,233,419
655,9957,232,420
589,6913,230,421
529,5309,228,422
579,6605,227,423
405,2299,225,424
481,4402,223,425
567,5788,222,426
500,4737,218,427
522,5201,216,428
555,5704,216,429
59,0244,214,430
41,0142,212,431
635,9923,211,432
415,2801,202,433
546,5415,198,434
289,1226,194,435
392,2131,191,436
86,0361,191,437
116,0471,189,438
229,0965,186,439
237,0999,180,440
483,4406,179,441
592,6968,175,442
570,5806,175,443
10,0029,174,444
460,3809,168,445
53,0190,167,446
38,0135,166,447
401,2183,166,448
58,0241,166,449
591,6941,166,450
624,9906,163,451
212,0873,162,452
482,4403,161,453
335,1630,160,454
618,8862,158,455
644,9933,157,456
408,2504,157,457
4,0019,154,458
480,4401,153,459
382,2032,149,460
639,9928,144,461
489,4454,144,462
512,4840,143,463
564,5782,139,464
475,4255,139,465
491,4602,138,466
106,0437,138,467
271,1147,136,468
15,0072,136,469
652,9952,134,470
186,0698,134,471
61,0299,133,472
213,0880,132,473
576,6511,130,474
674,9998,129,475
311,1382,126,476
243,1020,124,477
387,2110,122,478
105,0435,122,479
497,4714,121,480
662,9973,118,481
671,9995,118,482
459,3808,118,483
423,3111,117,484
468,4010,115,485
565,5784,115,486
615,8810,114,487
670,9994,112,488
70,0313,111,489
447,3701,107,490
643,9932,106,491
642,9931,106,492
563,5767,102,493
413,2608,99,494
256,1087,98,495
623,9905,98,496
322,1501,97,497
450,3707,97,498
649,9942,96,499
349,1730,94,500
112,0459,94,501
633,9920,93,502
476,4301,93,503
425,3306,93,504
653,9954,91,505
559,5729,90,506
90,0392,90,507
508,4805,89,508
620,9902,87,509
663,9975,87,510
669,9993,87,511
658,9965,87,512
471,4104,87,513
455,3769,87,514
157,0642,86,515
650,9944,86,516
314,1397,85,517
595,7006,84,518
121,0487,81,519
619,9901,80,520
226,0958,80,521
372,1899,77,522
307,1372,73,523
486,4417,71,524
40,0140,71,525
72,0319,71,526
509,4816,70,527
348,1725,70,528
312,1384,70,529
519,5031,69,530
578,6601,67,531
43,0160,65,532
651,9945,65,533
487,4441,64,534
452,3712,63,535
472,4201,62,536
673,9997,62,537
664,9976,62,538
520,5042,61,539
583,6656,61,540
626,9908,61,541
30,0106,60,542
440,3601,60,543
490,4601,59,544
659,9968,59,545
467,3940,58,546
264,1107,57,547
399,2161,57,548
597,7301,56,549
384,2099,53,550
257,1099,52,551
667,9988,50,552
606,7601,50,553
98,0410,50,554
561,5737,49,555
338,1658,49,556
526,5221,49,557
575,6505,48,558
547,5419,48,559
358,1815,47,560
638,9927,47,561
513,4850,46,562
287,1223,46,563
660,9971,46,564
672,9996,45,565
560,5736,44,566
562,5738,44,567
593,7001,44,568
37,0134,44,569
420,3101,44,570
363,1850,43,571
445,3606,43,572
668,9991,41,573
608,8201,40,574
183,0688,39,575
641,9930,39,576
479,4373,39,577
499,4717,39,578
523,5205,39,579
572,5876,38,580
531,5313,36,581
14,0062,36,582
443,3604,36,583
501,4741,35,584
39,0136,35,585
275,1163,35,586
613,8610,32,587
622,9904,32,588
552,5440,31,589
298,1321,30,590
640,9929,30,591
646,9936,30,592
485,4416,30,593
394,2144,29,594
435,3511,28,595
441,3602,28,596
630,9917,28,597
6,0021,28,598
69,0309,28,599
478,4361,28,600
647,9939,27,601
601,7402,27,602
532,5317,27,603
661,9972,27,604
47,0184,27,605
534,5323,26,606
457,3802,25,607
495,4616,24,608
436,3513,24,609
628,9915,24,610
665,9982,24,611
503,4745,24,612
309,1374,23,613
422,3106,23,614
611,8601,23,615
91,0394,23,616
73,0322,22,617
498,4715,21,618
469,4101,21,619
310,1380,21,620
453,3725,21,621
654,9955,20,622
406,2501,19,623
488,4449,19,624
675,9999,18,625
607,7603,18,626
330,1541,17,627
444,3605,17,628
190,0799,17,629
438,3546,16,630
454,3727,15,631
600,7401,15,632
648,9940,14,633
63,0302,14,634
341,1699,14,635
352,1799,14,636
465,3901,12,637
376,1999,12,638
321,1499,11,639
631,9918,11,640
437,3515,11,641
248,1051,10,642
605,7420,10,643
249,1054,9,644
516,5002,9,645
393,2135,9,646
313,1386,9,647
285,1221,9,648
627,9914,9,649
550,5427,8,650
250,1056,8,651
577,6517,7,652
629,9916,7,653
632,9919,7,654
247,1046,6,655
511,4819,5,656
657,9961,5,657
634,9921,4,658
514,4855,4,659
326,1521,4,660
656,9960,4,661
424,3301,4,662
283,1202,4,663
466,3910,3,664
155,0639,2,665
464,3872,2,666
484,4414,2,667
426,3314,2,668
530,5310,2,669
153,0637,1,670
462,3858,1,671
621,9903,1,672
551,5439,1,673
244,1021,1,674
25,0095,1,675
432,3428,1,676
